City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
88,mount gambier,-37.8333,140.7667,16.12,65,100,1.8,AU,1675556863
89,sur,22.5667,59.5289,20.78,66,0,2.86,OM,1675557052
90,chuy,-33.6971,-53.4616,19.07,93,96,7.44,UY,1675557052
91,alice springs,-23.7,133.8833,23.75,33,1,4.12,AU,1675556804
92,kamenka,51.3223,42.7678,-7.66,96,100,2.95,RU,1675557053
93,talnakh,69.4865,88.3972,-11.55,96,100,3.26,RU,1675557053
94,muli,2.9167,73.5667,26.58,69,89,1.18,MV,1675556856
95,port alfred,-33.5906,26.891,25.1,70,100,0.45,ZA,1675556779
96,bambanglipuro,-7.95,110.2833,26.03,84,100,3.1,ID,1675557054
97,hamilton,39.1834,-84.5333,6.97,48,0,7.2,US,1675556330
98,mahdalynivka,48.921,34.9156,-2.79,96,100,1.63,UA,1675557054
99,bredasdorp,-34.5322,20.0403,20.14,91,2,3.17,ZA,1675556807
100,mar del plata,-38.0023,-57.5575,20.05,73,0,2.06,AR,1675557055
101,nago,26.5881,127.9761,17.24,73,100,6.02,JP,1675557055
102,wanlaweyn,2.6185,44.8938,22.23,71,96,6.15,SO,1675557056
103,dikson,73.5069,80.5464,-18.98,97,100,1.52,RU,1675557056
104,talcahuano,-36.7167,-73.1167,16.82,88,100,2.57,CL,1675556804
105,novoagansk,61.9449,76.6625,-18.33,100,100,2.75,RU,1675557057
106,cherskiy,68.75,161.3,-37.22,100,93,0.58,RU,1675557057
107,norman wells,65.282,-126.8329,-25.98,70,75,1.54,CA,1675557058
108,georgetown,5.4112,100.3354,25.96,85,20,2.57,MY,1675556968
109,mehran,33.1222,46.1646,10.51,40,7,3.35,IR,1675557058
110,mimongo,-1.6195,11.6068,20.4,99,57,1.32,GA,1675557059
111,vostok,46.4856,135.8833,-14.37,89,97,1.77,RU,1675557059
112,hilo,19.7297,-155.09,26.85,72,75,5.14,US,1675557060
113,sakakah,29.9697,40.2064,6.76,69,11,1.8,SA,1675556904
114,maceio,-9.6658,-35.7353,25.69,94,40,2.06,BR,1675557060
115,mazagao,-0.115,-51.2894,25.03,96,100,1.57,BR,1675557060
116,sardhana,29.15,77.6167,11.99,64,0,3.34,IN,1675557061
117,fortuna,40.5982,-124.1573,16.19,74,100,6.69,US,1675557061
118,saldanha,-33.0117,17.9442,19.03,97,100,5.53,ZA,1675557065
119,pedernales,18.0384,-71.744,24.77,55,0,2.64,DO,1675557066
120,saint george,37.1041,-113.5841,15.8,31,0,2.06,US,1675557071
121,eldorado,-23.7869,-54.2836,22.91,79,51,1.22,BR,1675556965
122,vanavara,60.34,102.2797,-25.46,100,95,0.91,RU,1675557078
123,castro,-24.7911,-50.0119,16.85,94,100,2.24,BR,1675557081
124,barrow,71.2906,-156.7887,-29.99,76,0,4.63,US,1675557084
125,chokurdakh,70.6333,147.9167,-31.7,97,100,3.66,RU,1675557087
126,berlevag,70.8578,29.0864,-3.0,73,75,4.63,NO,1675556879
127,wakkanai,45.4094,141.6739,-9.01,92,75,2.57,JP,1675557092
